id,city,city1,country,latitude,longitude,state,geo_accuracy
1,Cherokee Ridge,Cherokee Ridge AL,US,34.4222,-86.5624,AL,accurate
2,Lisbon,Lisbon WI,US,43.1533,-88.2468,WI,state_match_city_mismatch
3,Holden Lakes,Holden Lakes FL,US,28.5013,-81.3878,FL,state_match_city_mismatch
4,Tuxedo,Tuxedo NY,US,41.2324,-74.1774,NY,state_match_city_mismatch
5,Lakewood,Lakewood IN,US,39.3955,-87.3001,IN,state_match_city_mismatch
6,Hartz Lake,Hartz Lake IN,US,41.1762,-86.4942,IN,state_match_city_mismatch
7,Bennetts Switch,Bennetts Switch IN,US,40.5872,-86.1099,IN,accurate
8,Bear Lake,Bear Lake IN,US,41.3241,-85.5151,IN,state_match_city_mismatch
9,Geneva,Geneva IN,US,39.3912,-85.7175,IN,accurate
10,Schaefer Lake,Schaefer Lake IN,US,39.2828,-85.7517,IN,state_match_city_mismatch
11,Eden,Eden IN,US,39.9038,-85.7694,IN,state_match_city_mismatch
12,Jefferson,Jefferson IN,US,40.2794,-86.591,IN,accurate
13,Hoffman Lake,Hoffman Lake IN,US,41.2725,-85.9886,IN,state_match_city_mismatch
14,Mineral Springs,Mineral Springs IN,US,39.1322,-85.8609,IN,state_match_city_mismatch
15,Lake Holiday Hideaway,Lake Holiday Hideaway IN,US,39.996,-87.3067,IN,state_match_city_mismatch
16,Adams Lake,Adams Lake IN,US,41.5536,-85.3302,IN,state_match_city_mismatch
17,Lake Everett,Lake Everett IN,US,41.1541,-85.3153,IN,state_match_city_mismatch
18,Lakeshore Resort,Lakeshore Resort IN,US,39.5143,-85.0208,IN,state_match_city_mismatch
19,Nineveh,Nineveh IN,US,39.3612,-86.0927,IN,accurate
20,Wildwood,Wildwood IN,US,41.5932,-85.1897,IN,accurate
21,Antioch,Antioch IN,US,40.2273,-86.5056,IN,accurate
22,Big Lake,Big Lake IN,US,41.2742,-85.4993,IN,state_match_city_mismatch
23,Harrison Lake,Harrison Lake IN,US,39.1855,-86.0256,IN,state_match_city_mismatch
24,Otter Lake,Otter Lake IN,US,41.6368,-85.1681,IN,state_match_city_mismatch
25,Lake of the Woods,Lake of the Woods IN,US,41.4241,-86.2289,IN,state_match_city_mismatch
26,Judson,Judson IN,US,39.8134,-87.1358,IN,accurate
27,Beaver Dam,Beaver Dam IN,US,41.0937,-85.9757,IN,state_match_city_mismatch
28,Needmore,Needmore IN,US,38.9267,-86.5263,IN,accurate
29,Marion,Marion IN,US,39.5884,-85.7587,IN,accurate
30,Fairview,Fairview IN,US,40.2976,-85.1962,IN,accurate
31,Jimmerson Lake,Jimmerson Lake IN,US,41.7076,-85.0633,IN,state_match_city_mismatch
32,Holiday Woods,Holiday Woods IN,US,41.6232,-85.0716,IN,state_match_city_mismatch
33,Saugany Lake,Saugany Lake IN,US,41.7213,-86.593,IN,state_match_city_mismatch
34,Cree Lake,Cree Lake IN,US,41.5073,-85.2748,IN,state_match_city_mismatch
35,Milford,Milford IN,US,39.3504,-85.6197,IN,accurate
36,Lake View,Lake View IN,US,39.4852,-85.2492,IN,accurate
37,Maxwell,Maxwell IN,US,39.8558,-85.7683,IN,accurate
38,Center,Center IN,US,40.4368,-86.0596,IN,accurate
39,Rockford,Rockford IN,US,38.9859,-85.8868,IN,accurate
40,Foxcliff Estates,Foxcliff Estates IN,US,39.4787,-86.3917,IN,state_match_city_mismatch
41,Middlebury,Middlebury IN,US,39.2649,-87.1193,IN,accurate
42,Wall Lake,Wall Lake IN,US,41.7297,-85.1999,IN,state_match_city_mismatch
43,Shipshewana Lake,Shipshewana Lake IN,US,41.6851,-85.6064,IN,state_match_city_mismatch
44,Snow Lake,Snow Lake IN,US,41.7302,-85.0327,IN,state_match_city_mismatch
45,Nyona Lake,Nyona Lake IN,US,40.9637,-86.1857,IN,state_match_city_mismatch
46,Cahokia Heights,Cahokia Heights IL,US,38.571,-90.1525,IL,accurate
47,Lone Chimney,Lone Chimney OK,US,36.2326,-96.7929,OK,state_match_city_mismatch
48,Double Horn,Double Horn TX,US,30.4961,-98.217,TX,accurate
49,Poetry,Poetry TX,US,32.8257,-96.2458,TX,accurate
50,Village of Waukesha,Village of Waukesha WI,US,42.9601,-88.248,WI,accurate
51,Vernon,Vernon WI,US,42.884,-88.2494,WI,state_match_city_mismatch
52,Denmark,Denmark WI,US,44.3493,-87.8313,WI,accurate
53,Morningside Park,Morningside Park FL,US,28.4433,-81.4067,FL,accurate
54,Latimer,Latimer SC,US,34.1321,-82.5926,SC,accurate
55,De Soto,De Soto WI,US,43.4283,-91.1963,WI,accurate
56,Lanes Creek,Lanes Creek SC,US,33.4996,-79.3631,SC,accurate
57,Lambrick,Lambrick SC,US,33.3063,-80.7345,SC,accurate
58,Lake Taro,Lake Taro SC,US,34.7673,-82.284,SC,accurate
59,Kapunakea,Kapunakea HI,US,20.8908,-156.6842,HI,state_match_city_mismatch
60,Kennedy,Kennedy NY,US,42.159,-79.0982,NY,accurate
61,De Pere,De Pere WI,US,44.4308,-88.0785,WI,accurate
62,Milton,Milton SC,US,34.3524,-81.8898,SC,accurate
63,Duplex,Duplex TN,US,35.747,-86.8372,TN,state_match_city_mismatch
64,Champion,Champion NY,US,43.9709,-75.6948,NY,state_match_city_mismatch
65,Champlain,Champlain NY,US,44.9591,-73.4324,NY,accurate
66,Caton,Caton NY,US,42.0463,-77.0246,NY,state_match_city_mismatch
67,Catskill,Catskill NY,US,42.2063,-73.9435,NY,state_match_city_mismatch
68,Catlin,Catlin NY,US,42.2449,-76.9056,NY,accurate
69,Cato,Cato NY,US,43.1259,-76.5356,NY,state_match_city_mismatch
70,Cazenovia,Cazenovia NY,US,42.9122,-75.8636,NY,state_match_city_mismatch
71,Centerville,Centerville NY,US,42.479,-78.2495,NY,accurate
72,Reese,Reese MI,US,43.4528,-83.6893,MI,state_match_city_mismatch
73,Cayuta,Cayuta NY,US,42.2693,-76.6807,NY,accurate
74,Bulltown,Bulltown WV,US,38.7887,-80.5665,WV,state_match_city_mismatch
75,Bryson,Bryson TX,US,33.1636,-98.3894,TX,accurate
76,Bunker Hill,Bunker Hill WV,US,39.3334,-78.0544,WV,accurate
77,Burdette,Burdette WV,US,38.0632,-80.7995,WV,accurate
78,Libertyville,Libertyville IA,US,40.9582,-92.0496,IA,accurate
79,Upper Pohatcong,Upper Pohatcong NJ,US,40.6774,-75.1558,NJ,state_match_city_mismatch
80,Evergreen,Evergreen LA,US,30.9527,-92.1052,LA,accurate
81,Lidderdale,Lidderdale IA,US,42.1224,-94.7837,IA,accurate
82,Upper Montclair,Upper Montclair NJ,US,40.8433,-74.2006,NJ,accurate
83,Farwell,Farwell PA,US,41.3336,-77.7173,PA,accurate
84,Elkins Park,Elkins Park PA,US,40.0775,-75.128,PA,accurate
85,Fisherville,Fisherville PA,US,40.4726,-78.1699,PA,state_match_city_mismatch
86,East Sharpsburg,East Sharpsburg PA,US,40.3346,-78.3721,PA,accurate
87,East Altoona,East Altoona PA,US,40.5469,-78.3636,PA,accurate
88,Eldorado,Eldorado PA,US,40.4812,-78.4392,PA,state_match_city_mismatch
